Stage,ChangeList 1,ChangeList 2,ChangeList 3,Changelist Avg, ,Hashlite 1,Hashlite 2,Hashlite 3,Hashlite Avg, ,,
87,0.001,0.001,0.002,0.001333333, ,0,0.001,0,0.000333333, ,,
88,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
89,0.001,0.001,0.001,0.001, ,0.001,0,0.001,0.000666667, ,,
90,0.002,0.001,0.001,0.001333333, ,0,0,0,0, ,,
91,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
92,0.001,0.001,0.001,0.001, ,0,0.001,0.001,0.000666667, ,,
93,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
94,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
95,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
96,0.001,0.001,0.001,0.001, ,0.001,0,0.001,0.000666667, ,,
97,0.001,0.001,0.001,0.001, ,0,0.001,0,0.000333333, ,,
98,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
99,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
100,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
101,0.001,0.001,0.001,0.001, ,0.001,0,0.001,0.000666667, ,,
102,0.002,0.001,0.001,0.001333333, ,0,0,0,0, ,,
103,0.001,0.001,0.001,0.001, ,0,0.001,0,0.000333333, ,,
104,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
105,0.001,0.001,0.002,0.001333333, ,0.001,0,0,0.000333333, ,,
106,0.001,0.002,0.001,0.001333333, ,0,0,0.001,0.000333333, ,,
107,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
108,0.001,0.001,0.001,0.001, ,0.001,0.001,0,0.000666667, ,,
109,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
110,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
111,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
112,0.002,0.001,0.001,0.001333333, ,0.001,0,0,0.000333333, ,,
113,0.001,0.001,0.001,0.001, ,0,0.001,0,0.000333333, ,,
114,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
115,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
116,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
117,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
118,0.001,0.001,0.001,0.001, ,0,0.001,0.001,0.000666667, ,,
119,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
120,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
121,0.002,0.002,0.001,0.001666667, ,0,0,0,0, ,,
122,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
123,0.001,0.001,0.002,0.001333333, ,0.001,0.001,0,0.000666667, ,,
124,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
125,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
126,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
127,0.001,0.007,0.001,0.003, ,0.001,0.001,0,0.000666667, ,,
128,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
129,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
130,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0,0.000666667, ,,
131,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
132,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
133,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
134,0.001,0.001,0.001,0.001, ,0,0.001,0.001,0.000666667, ,,
135,0.001,0.002,0.001,0.001333333, ,0,0,0,0, ,,
136,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
137,0.001,0.001,0.002,0.001333333, ,0,0.001,0.001,0.000666667, ,,
138,0.001,0.001,0.001,0.001, ,0.001,0,0.001,0.000666667, ,,
139,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
140,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
141,0.002,0.001,0.001,0.001333333, ,0,0,0,0, ,,
142,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
143,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
144,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
145,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
146,0.001,0.001,0.001,0.001, ,0,0.001,0.001,0.000666667, ,,
147,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
148,0.001,0.002,0.001,0.001333333, ,0.001,0,0.001,0.000666667, ,,
149,0.001,0.001,0.001,0.001, ,0,0.001,0,0.000333333, ,,
150,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
151,0.001,0.001,0.002,0.001333333, ,0.001,0,0.001,0.000666667, ,,
152,0.002,0.001,0.001,0.001333333, ,0,0,0,0, ,,
153,0.001,0.001,0.001,0.001, ,0.001,0.001,0,0.000666667, ,,
154,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
155,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
156,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
157,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
158,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
159,0.001,0.002,0.001,0.001333333, ,0,0.001,0.001,0.000666667, ,,
160,0.002,0.001,0.001,0.001333333, ,0,0,0,0, ,,
161,0.001,0.001,0.001,0.001, ,0.001,0,0.001,0.000666667, ,,
