Stage,ChangeList 1,ChangeList 2,ChangeList 3,Changelist Avg, ,Hashlite 1,Hashlite 2,Hashlite 3,Hashlite Avg, ,,
1046,0.002,0.001,0.002,0.001666667, ,0.001,0.001,0.001,0.001, ,,
1047,0.001,0.001,0.001,0.001, ,0,0.001,0.001,0.000666667, ,,
1048,0.001,0.002,0.001,0.001333333, ,0.001,0.001,0.001,0.001, ,,
1049,0.001,0.007,0.001,0.003, ,0.001,0.001,0.001,0.001, ,,
1050,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
1051,0.002,0.002,0.002,0.002, ,0.001,0,0.001,0.000666667, ,,
1052,0.001,0.001,0.001,0.001, ,0,0.001,0.001,0.000666667, ,,
1053,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
1054,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
1055,0.001,0.002,0.002,0.001666667, ,0.001,0.001,0.001,0.001, ,,
1056,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
1057,0.001,0.001,0.001,0.001, ,0,0.001,0.001,0.000666667, ,,
1058,0.001,0.001,0.001,0.001, ,0.001,0.001,0.002,0.001333333, ,,
1059,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0.001,0.001, ,,
1060,0.001,0.002,0.002,0.001666667, ,0.001,0.001,0.001,0.001, ,,
1061,0.001,0.001,0.001,0.001, ,0.001,0.001,0.002,0.001333333, ,,
1062,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
1063,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
1064,0.002,0.002,0.002,0.002, ,0.001,0.001,0.001,0.001, ,,
1065,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
1066,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
1067,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1068,0.001,0.002,0.002,0.001666667, ,0.001,0.001,0.001,0.001, ,,
1069,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
1070,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0.001,0.001, ,,
1071,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
1072,0.001,0.001,0.002,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1073,0.001,0.002,0.001,0.001333333, ,0.001,0.001,0.001,0.001, ,,
1074,0.002,0.001,0.001,0.001333333, ,0.001,0.002,0.001,0.001333333, ,,
1075,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
1076,0.001,0.001,0.002,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1077,0.001,0.002,0.001,0.001333333, ,0.001,0.001,0.001,0.001, ,,
1078,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0.001,0.001, ,,
1079,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
1080,0.001,0.002,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1081,0.001,0.001,0.002,0.001333333, ,0.001,0.001,0.001,0.001, ,,
1082,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
1083,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1084,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
1085,0.001,0.002,0.002,0.001666667, ,0.001,0.001,0.001,0.001, ,,
1086,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0.001,0.001, ,,
1087,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
1088,0.001,0.001,0.001,0.001, ,0.001,0.001,0.002,0.001333333, ,,
1089,0.001,0.002,0.002,0.001666667, ,0.001,0.001,0.001,0.001, ,,
1090,0.008,0.001,0.001,0.003333333, ,0.001,0.001,0.001,0.001, ,,
1091,0.001,0.001,0.001,0.001, ,0.002,0.002,0.002,0.002, ,,
1092,0.001,0.002,0.001,0.001333333, ,0.001,0.001,0.001,0.001, ,,
1093,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1094,0.001,0.002,0.002,0.001666667, ,0.002,0.001,0.001,0.001333333, ,,
1095,0.001,0.001,0.001,0.001, ,0.001,0.001,0.002,0.001333333, ,,
1096,0.002,0.001,0.001,0.001333333, ,0.001,0.002,0.001,0.001333333, ,,
1097,0.001,0.002,0.001,0.001333333, ,0.002,0.001,0.002,0.001666667, ,,
1098,0.001,0.001,0.002,0.001333333, ,0.001,0.001,0.001,0.001, ,,
1099,0.001,0.001,0.001,0.001, ,0.001,0.001,0.002,0.001333333, ,,
1100,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0.001,0.001, ,,
1101,0.001,0.002,0.002,0.001666667, ,0.002,0.002,0.001,0.001666667, ,,
1102,0.001,0.001,0.001,0.001, ,0.001,0.001,0.002,0.001333333, ,,
1103,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
1104,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1105,0.001,0.002,0.002,0.001666667, ,0.002,0.002,0.001,0.001666667, ,,
1106,0.001,0.001,0.001,0.001, ,0.001,0.001,0.002,0.001333333, ,,
1107,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
1108,0.002,0.001,0.002,0.001666667, ,0.002,0.002,0.002,0.002, ,,
1109,0.001,0.002,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1110,0.001,0.001,0.006,0.002666667, ,0.001,0.001,0.001,0.001, ,,
1111,0.002,0.001,0.002,0.001666667, ,0.002,0.002,0.002,0.002, ,,
1112,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
1113,0.001,0.002,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1114,0.001,0.001,0.001,0.001, ,0.002,0.001,0.002,0.001666667, ,,
1115,0.002,0.001,0.002,0.001666667, ,0.001,0.002,0.002,0.001666667, ,,
1116,0.001,0.002,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1117,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1118,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
1119,0.002,0.001,0.002,0.001666667, ,0.002,0.001,0.002,0.001666667, ,,
1120,0.001,0.002,0.001,0.001333333, ,0.001,0.001,0.001,0.001, ,,
1121,0.001,0.001,0.001,0.001, ,0.001,0.001,0.002,0.001333333, ,,
1122,0.001,0.001,0.001,0.001, ,0.001,0.002,0.001,0.001333333, ,,
1123,0.002,0.001,0.002,0.001666667, ,0.001,0.001,0.002,0.001333333, ,,
1124,0.001,0.001,0.001,0.001, ,0.001,0.001,0.002,0.001333333, ,,
1125,0.001,0.002,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1126,0.001,0.001,0.002,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1127,0.001,0.001,0.001,0.001, ,0.001,0.001,0.002,0.001333333, ,,
1128,0.001,0.001,0.001,0.001, ,0.001,0.001,0.002,0.001333333, ,,
1129,0.001,0.002,0.001,0.001333333, ,0.001,0.002,0.002,0.001666667, ,,
1130,0.001,0.001,0.002,0.001333333, ,0.002,0.001,0.001,0.001333333, ,,
1131,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1132,0.001,0.001,0.001,0.001, ,0.001,0.002,0.001,0.001333333, ,,
1133,0.001,0.002,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1134,0.001,0.001,0.002,0.001333333, ,0.001,0.001,0.001,0.001, ,,
1135,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1136,0.001,0.001,0.001,0.001, ,0.001,0.001,0.001,0.001, ,,
1137,0.001,0.001,0.002,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1138,0.001,0.002,0.001,0.001333333, ,0.002,0.002,0.001,0.001666667, ,,
1139,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1140,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1141,0.001,0.002,0.002,0.001666667, ,0.002,0.001,0.002,0.001666667, ,,
1142,0.001,0.001,0.001,0.001, ,0.001,0.002,0.001,0.001333333, ,,
1143,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1144,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1145,0.001,0.002,0.002,0.001666667, ,0.001,0.001,0.001,0.001, ,,
1146,0.001,0.001,0.001,0.001, ,0.002,0.002,0.002,0.002, ,,
1147,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0.001,0.001, ,,
1148,0.001,0.001,0.002,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1149,0.001,0.002,0.001,0.001333333, ,0.001,0.002,0.002,0.001666667, ,,
1150,0.002,0.001,0.001,0.001333333, ,0.002,0.001,0.002,0.001666667, ,,
1151,0.001,0.006,0.001,0.002666667, ,0.001,0.002,0.001,0.001333333, ,,
1152,0.001,0.002,0.002,0.001666667, ,0.001,0.001,0.002,0.001333333, ,,
1153,0.001,0.001,0.001,0.001, ,0.002,0.002,0.002,0.002, ,,
1154,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1155,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1156,0.001,0.002,0.002,0.001666667, ,0.001,0.001,0.001,0.001, ,,
1157,0.001,0.001,0.001,0.001, ,0.002,0.002,0.002,0.002, ,,
1158,0.002,0.001,0.001,0.001333333, ,0.001,0.002,0.002,0.001666667, ,,
1159,0.001,0.001,0.002,0.001333333, ,0.002,0.001,0.002,0.001666667, ,,
1160,0.002,0.002,0.001,0.001666667, ,0.001,0.002,0.003,0.002, ,,
1161,0.001,0.001,0.002,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1162,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1163,0.001,0.002,0.001,0.001333333, ,0.002,0.001,0.002,0.001666667, ,,
1164,0.002,0.001,0.002,0.001666667, ,0.001,0.001,0.002,0.001333333, ,,
1165,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1166,0.001,0.001,0.001,0.001, ,0.002,0.001,0.001,0.001333333, ,,
1167,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1168,0.002,0.002,0.002,0.002, ,0.001,0.001,0.002,0.001333333, ,,
1169,0.001,0.001,0.001,0.001, ,0.002,0.002,0.002,0.002, ,,
1170,0.001,0.001,0.001,0.001, ,0.001,0.001,0.002,0.001333333, ,,
1171,0.002,0.002,0.002,0.002, ,0.001,0.002,0.002,0.001666667, ,,
1172,0.001,0.001,0.001,0.001, ,0.002,0.001,0.002,0.001666667, ,,
1173,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1174,0.001,0.002,0.001,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1175,0.002,0.001,0.002,0.001666667, ,0.001,0.001,0.002,0.001333333, ,,
1176,0.001,0.001,0.001,0.001, ,0.002,0.002,0.002,0.002, ,,
1177,0.001,0.001,0.001,0.001, ,0.001,0.001,0.002,0.001333333, ,,
1178,0.001,0.002,0.001,0.001333333, ,0.001,0.002,0.002,0.001666667, ,,
1179,0.002,0.001,0.002,0.001666667, ,0.002,0.001,0.001,0.001333333, ,,
1180,0.001,0.001,0.001,0.001, ,0.001,0.001,0.002,0.001333333, ,,
1181,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1182,0.002,0.002,0.002,0.002, ,0.001,0.001,0.001,0.001, ,,
1183,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1184,0.001,0.001,0.001,0.001, ,0.002,0.001,0.002,0.001666667, ,,
1185,0.002,0.001,0.001,0.001333333, ,0.001,0.002,0.001,0.001333333, ,,
1186,0.001,0.002,0.002,0.001666667, ,0.002,0.001,0.002,0.001666667, ,,
1187,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1188,0.001,0.001,0.001,0.001, ,0.002,0.002,0.002,0.002, ,,
1189,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1190,0.001,0.002,0.002,0.001666667, ,0.002,0.002,0.002,0.002, ,,
1191,0.001,0.001,0.001,0.001, ,0.002,0.002,0.002,0.002, ,,
1192,0.008,0.001,0.001,0.003333333, ,0.001,0.001,0.002,0.001333333, ,,
1193,0.001,0.001,0.002,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1194,0.002,0.002,0.001,0.001666667, ,0.001,0.002,0.002,0.001666667, ,,
1195,0.001,0.001,0.001,0.001, ,0.002,0.001,0.003,0.002, ,,
1196,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1197,0.002,0.002,0.002,0.002, ,0.002,0.002,0.002,0.002, ,,
1198,0.001,0.001,0.001,0.001, ,0.001,0.002,0.001,0.001333333, ,,
1199,0.001,0.001,0.001,0.001, ,0.001,0.001,0.002,0.001333333, ,,
1200,0.001,0.002,0.001,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1201,0.002,0.002,0.002,0.002, ,0.001,0.002,0.002,0.001666667, ,,
1202,0.001,0.001,0.001,0.001, ,0.002,0.002,0.002,0.002, ,,
1203,0.001,0.002,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1204,0.001,0.001,0.002,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1205,0.002,0.001,0.001,0.001333333, ,0.001,0.002,0.002,0.001666667, ,,
1206,0.001,0.001,0.001,0.001, ,0.002,0.001,0.002,0.001666667, ,,
1207,0.001,0.002,0.001,0.001333333, ,0.001,0.002,0.002,0.001666667, ,,
1208,0.001,0.001,0.002,0.001333333, ,0.022,0.02,0.022,0.021333333, ,,
1209,0.002,0.001,0.001,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1210,0.001,0.002,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1211,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1212,0.002,0.001,0.007,0.003333333, ,0.002,0.001,0.001,0.001333333, ,,
1213,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1214,0.001,0.002,0.001,0.001333333, ,0.002,0.002,0.003,0.002333333, ,,
1215,0.002,0.001,0.002,0.001666667, ,0.001,0.001,0.002,0.001333333, ,,
1216,0.001,0.001,0.001,0.001, ,0.002,0.002,0.002,0.002, ,,
1217,0.001,0.002,0.001,0.001333333, ,0.001,0.002,0.002,0.001666667, ,,
1218,0.002,0.001,0.002,0.001666667, ,0.002,0.001,0.002,0.001666667, ,,
1219,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1220,0.001,0.001,0.001,0.001, ,0.002,0.001,0.002,0.001666667, ,,
1221,0.002,0.002,0.001,0.001666667, ,0.002,0.002,0.002,0.002, ,,
1222,0.001,0.001,0.002,0.001333333, ,0.001,0.002,0.002,0.001666667, ,,
1223,0.001,0.001,0.001,0.001, ,0.002,0.002,0.002,0.002, ,,
1224,0.002,0.002,0.001,0.001666667, ,0.001,0.001,0.002,0.001333333, ,,
1225,0.001,0.001,0.002,0.001333333, ,0.002,0.002,0.003,0.002333333, ,,
1226,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1227,0.002,0.001,0.001,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1228,0.001,0.002,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1229,0.001,0.001,0.002,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1230,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1231,0.002,0.002,0.001,0.001666667, ,0.002,0.001,0.002,0.001666667, ,,
1232,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1233,0.001,0.001,0.002,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1234,0.001,0.002,0.001,0.001333333, ,0.001,0.002,0.002,0.001666667, ,,
1235,0.002,0.001,0.001,0.001333333, ,0.002,0.001,0.001,0.001333333, ,,
1236,0.001,0.001,0.001,0.001, ,0.002,0.002,0.003,0.002333333, ,,
1237,0.001,0.001,0.002,0.001333333, ,0.001,0.002,0.002,0.001666667, ,,
1238,0.002,0.002,0.001,0.001666667, ,0.002,0.001,0.002,0.001666667, ,,
1239,0.001,0.001,0.002,0.001333333, ,0.001,0.002,0.002,0.001666667, ,,
1240,0.001,0.001,0.001,0.001, ,0.002,0.002,0.002,0.002, ,,
1241,0.002,0.002,0.001,0.001666667, ,0.002,0.002,0.002,0.002, ,,
1242,0.001,0.001,0.001,0.001, ,0.001,0.001,0.002,0.001333333, ,,
1243,0.001,0.001,0.002,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1244,0.001,0.002,0.001,0.001333333, ,0.002,0.002,0.003,0.002333333, ,,
1245,0.002,0.001,0.001,0.001333333, ,0.001,0.002,0.002,0.001666667, ,,
1246,0.001,0.001,0.002,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1247,0.002,0.002,0.001,0.001666667, ,0.002,0.001,0.002,0.001666667, ,,
1248,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1249,0.002,0.001,0.002,0.001666667, ,0.002,0.002,0.003,0.002333333, ,,
1250,0.001,0.002,0.001,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1251,0.001,0.001,0.002,0.001333333, ,0.001,0.002,0.002,0.001666667, ,,
1252,0.001,0.008,0.002,0.003666667, ,0.002,0.002,0.002,0.002, ,,
1253,0.002,0.001,0.001,0.001333333, ,0.002,0.001,0.002,0.001666667, ,,
1254,0.001,0.002,0.001,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1255,0.001,0.002,0.001,0.001333333, ,0.001,0.002,0.002,0.001666667, ,,
1256,0.002,0.001,0.002,0.001666667, ,0.002,0.002,0.003,0.002333333, ,,
1257,0.001,0.002,0.001,0.001333333, ,0.001,0.002,0.002,0.001666667, ,,
1258,0.001,0.001,0.001,0.001, ,0.002,0.001,0.002,0.001666667, ,,
1259,0.002,0.002,0.002,0.002, ,0.002,0.002,0.002,0.002, ,,
1260,0.001,0.001,0.001,0.001, ,0.002,0.002,0.003,0.002333333, ,,
1261,0.002,0.001,0.001,0.001333333, ,0.001,0.002,0.001,0.001333333, ,,
1262,0.001,0.002,0.002,0.001666667, ,0.002,0.002,0.002,0.002, ,,
1263,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1264,0.001,0.001,0.001,0.001, ,0.002,0.001,0.003,0.002, ,,
1265,0.002,0.001,0.002,0.001666667, ,0.002,0.002,0.002,0.002, ,,
1266,0.001,0.002,0.001,0.001333333, ,0.001,0.002,0.002,0.001666667, ,,
1267,0.001,0.001,0.001,0.001, ,0.002,0.002,0.002,0.002, ,,
1268,0.002,0.001,0.002,0.001666667, ,0.002,0.002,0.002,0.002, ,,
1269,0.001,0.002,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1270,0.001,0.001,0.001,0.001, ,0.002,0.002,0.002,0.002, ,,
1271,0.002,0.001,0.001,0.001333333, ,0.001,0.002,0.002,0.001666667, ,,
1272,0.001,0.002,0.002,0.001666667, ,0.002,0.002,0.002,0.002, ,,
1273,0.001,0.001,0.001,0.001, ,0.001,0.001,0.002,0.001333333, ,,
1274,0.002,0.001,0.001,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1275,0.001,0.002,0.002,0.001666667, ,0.001,0.001,0.002,0.001333333, ,,
1276,0.001,0.001,0.001,0.001, ,0.001,0.002,0.001,0.001333333, ,,
1277,0.002,0.002,0.001,0.001666667, ,0.002,0.001,0.002,0.001666667, ,,
1278,0.001,0.001,0.001,0.001, ,0.001,0.001,0.002,0.001333333, ,,
1279,0.002,0.002,0.002,0.002, ,0.001,0.002,0.001,0.001333333, ,,
1280,0.001,0.001,0.001,0.001, ,0.002,0.002,0.002,0.002, ,,
1281,0.001,0.001,0.001,0.001, ,0.001,0.001,0.002,0.001333333, ,,
1282,0.001,0.001,0.002,0.001333333, ,0.001,0.002,0.001,0.001333333, ,,
1283,0.002,0.002,0.001,0.001666667, ,0.002,0.001,0.002,0.001666667, ,,
1284,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1285,0.002,0.001,0.001,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1286,0.001,0.002,0.002,0.001666667, ,0.001,0.002,0.002,0.001666667, ,,
1287,0.001,0.001,0.001,0.001, ,0.002,0.001,0.002,0.001666667, ,,
1288,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1289,0.002,0.002,0.002,0.002, ,0.002,0.001,0.002,0.001666667, ,,
1290,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1291,0.001,0.001,0.001,0.001, ,0.002,0.001,0.002,0.001666667, ,,
1292,0.002,0.002,0.001,0.001666667, ,0.001,0.002,0.001,0.001333333, ,,
1293,0.007,0.001,0.002,0.003333333, ,0.002,0.002,0.002,0.002, ,,
1294,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1295,0.001,0.001,0.001,0.001, ,0.002,0.002,0.002,0.002, ,,
1296,0.001,0.002,0.002,0.001666667, ,0.001,0.002,0.002,0.001666667, ,,
1297,0.002,0.001,0.001,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1298,0.001,0.002,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1299,0.001,0.001,0.001,0.001, ,0.002,0.002,0.002,0.002, ,,
1300,0.002,0.001,0.002,0.001666667, ,0.001,0.002,0.001,0.001333333, ,,
1301,0.001,0.002,0.001,0.001333333, ,0.002,0.002,0.003,0.002333333, ,,
1302,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1303,0.001,0.001,0.002,0.001333333, ,0.002,0.002,0.001,0.001666667, ,,
1304,0.001,0.002,0.001,0.001333333, ,0.001,0.002,0.002,0.001666667, ,,
1305,0.002,0.001,0.001,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1306,0.001,0.001,0.001,0.001, ,0.001,0.001,0.002,0.001333333, ,,
1307,0.001,0.002,0.002,0.001666667, ,0.002,0.002,0.002,0.002, ,,
1308,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1309,0.002,0.001,0.001,0.001333333, ,0.002,0.001,0.002,0.001666667, ,,
1310,0.001,0.002,0.002,0.001666667, ,0.001,0.002,0.002,0.001666667, ,,
1311,0.001,0.001,0.001,0.001, ,0.002,0.002,0.002,0.002, ,,
1312,0.002,0.001,0.002,0.001666667, ,0.001,0.001,0.002,0.001333333, ,,
1313,0.001,0.002,0.001,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1314,0.002,0.001,0.006,0.003, ,0.002,0.002,0.002,0.002, ,,
1315,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1316,0.002,0.002,0.002,0.002, ,0.002,0.002,0.003,0.002333333, ,,
1317,0.001,0.001,0.001,0.001, ,0.002,0.002,0.002,0.002, ,,
1318,0.001,0.001,0.002,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1319,0.001,0.002,0.001,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1320,0.002,0.001,0.001,0.001333333, ,0.001,0.002,0.002,0.001666667, ,,
1321,0.001,0.002,0.001,0.001333333, ,0.002,0.002,0.003,0.002333333, ,,
1322,0.001,0.001,0.002,0.001333333, ,0.002,0.001,0.002,0.001666667, ,,
1323,0.002,0.001,0.001,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1324,0.001,0.002,0.001,0.001333333, ,0.001,0.002,0.002,0.001666667, ,,
1325,0.002,0.001,0.002,0.001666667, ,0.002,0.003,0.002,0.002333333, ,,
1326,0.001,0.001,0.001,0.001, ,0.002,0.002,0.003,0.002333333, ,,
1327,0.001,0.002,0.001,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1328,0.001,0.001,0.002,0.001333333, ,0.001,0.003,0.002,0.002, ,,
1329,0.002,0.001,0.001,0.001333333, ,0.002,0.002,0.003,0.002333333, ,,
1330,0.001,0.002,0.001,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1331,0.001,0.001,0.002,0.001333333, ,0.002,0.003,0.003,0.002666667, ,,
1332,0.002,0.001,0.001,0.001333333, ,0.002,0.001,0.002,0.001666667, ,,
1333,0.001,0.002,0.001,0.001333333, ,0.002,0.003,0.002,0.002333333, ,,
1334,0.001,0.001,0.001,0.001, ,0.002,0.001,0.002,0.001666667, ,,
1335,0.002,0.001,0.002,0.001666667, ,0.001,0.002,0.002,0.001666667, ,,
1336,0.001,0.002,0.001,0.001333333, ,0.002,0.002,0.003,0.002333333, ,,
1337,0.001,0.001,0.001,0.001, ,0.002,0.002,0.002,0.002, ,,
1338,0.002,0.001,0.002,0.001666667, ,0.002,0.002,0.002,0.002, ,,
1339,0.001,0.002,0.001,0.001333333, ,0.001,0.002,0.002,0.001666667, ,,
1340,0.001,0.001,0.001,0.001, ,0.002,0.001,0.001,0.001333333, ,,
1341,0.002,0.001,0.002,0.001666667, ,0.002,0.002,0.002,0.002, ,,
1342,0.001,0.002,0.001,0.001333333, ,0.001,0.002,0.002,0.001666667, ,,
1343,0.001,0.001,0.001,0.001, ,0.002,0.001,0.002,0.001666667, ,,
1344,0.002,0.001,0.001,0.001333333, ,0.001,0.002,0.002,0.001666667, ,,
1345,0.001,0.002,0.002,0.001666667, ,0.002,0.002,0.002,0.002, ,,
1346,0.001,0.001,0.001,0.001, ,0.002,0.002,0.003,0.002333333, ,,
1347,0.001,0.002,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1348,0.002,0.001,0.002,0.001666667, ,0.002,0.003,0.002,0.002333333, ,,
1349,0.002,0.001,0.001,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1350,0.001,0.001,0.001,0.001, ,0.002,0.002,0.002,0.002, ,,
1351,0.002,0.002,0.002,0.002, ,0.002,0.002,0.003,0.002333333, ,,
1352,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0.002,0.001333333, ,,
1353,0.001,0.008,0.001,0.003333333, ,0.002,0.002,0.002,0.002, ,,
1354,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1355,0.002,0.001,0.002,0.001666667, ,0.002,0.002,0.002,0.002, ,,
1356,0.001,0.002,0.001,0.001333333, ,0.002,0.001,0.002,0.001666667, ,,
1357,0.001,0.001,0.001,0.001, ,0.001,0.002,0.002,0.001666667, ,,
1358,0.001,0.001,0.002,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1359,0.002,0.002,0.001,0.001666667, ,0.001,0.002,0.002,0.001666667, ,,
1360,0.001,0.001,0.001,0.001, ,0.002,0.001,0.002,0.001666667, ,,
1361,0.001,0.001,0.001,0.001, ,0.002,0.002,0.002,0.002, ,,
1362,0.002,0.001,0.002,0.001666667, ,0.001,0.002,0.002,0.001666667, ,,
1363,0.001,0.002,0.001,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1364,0.002,0.001,0.001,0.001333333, ,0.002,0.002,0.002,0.002, ,,
1365,0.001,0.002,0.002,0.001666667, ,0.001,0.002,0.002,0.001666667, ,,
